x y
3.178544011870923214e+02 7.852698946198092926e+02
3.217215479171563288e+02 7.821091082668565377e+02
3.255858196591889282e+02 7.789461693053277713e+02
3.294480889864229880e+02 7.757820346196581340e+02
3.333066844869346710e+02 7.726145742485282426e+02
3.371618479140471436e+02 7.694439697171246735e+02
3.410138194286020052e+02 7.662704065900345540e+02
3.448609235664374069e+02 7.630917572223711431e+02
3.487040523137257537e+02 7.599089671185781754e+02
3.525414958332112292e+02 7.567199380571414622e+02
3.563736195567494178e+02 7.535247529637467778e+02
3.602002228319652204e+02 7.503239659344449137e+02
3.640215108923057983e+02 7.471139645447117346e+02
3.678515290437587737e+02 7.438923173260385511e+02
3.717088759468828130e+02 7.406690071234804691e+02
3.756047439984478729e+02 7.374583322728086614e+02
3.795534675091923873e+02 7.342774649105250546e+02
3.834506951557832508e+02 7.309865951061564147e+02
3.873384705192546562e+02 7.276326658352908225e+02
3.915180598454033998e+02 7.245534742295610613e+02
3.961830422432034311e+02 7.219491725021498496e+02
4.010707485372853398e+02 7.195026463259029015e+02
4.062672650508459355e+02 7.173897201175714144e+02
4.117461890800619813e+02 7.156744149758453659e+02
4.174381226947977552e+02 7.148640672150153250e+02
4.231215939070842751e+02 7.153959264838395029e+02
4.285908629530364919e+02 7.165754382540285405e+02
4.338875797899751774e+02 7.179747360978158213e+02
4.390847917042206063e+02 7.195289001115038445e+02
4.438809616541706191e+02 7.219133929404813443e+02
4.487392550154937680e+02 7.243048807494137691e+02
4.533023298218362811e+02 7.274986442424531106e+02
4.578897566944577306e+02 7.309999199364328888e+02
4.614956256892916144e+02 7.355765123801498930e+02
4.642302344967242789e+02 7.405572077943212435e+02
4.665456884372581499e+02 7.455715643997840516e+02
4.686093027187609437e+02 7.505302492803443783e+02
4.700834823075228428e+02 7.556089359827287808e+02
4.715500628524982858e+02 7.607213617546108253e+02
4.723703162072081341e+02 7.660427226349214607e+02
4.727035712863651611e+02 7.715121256449685916e+02
4.726246019630355590e+02 7.770502313759965318e+02
4.719691299008185865e+02 7.825961122534667993e+02
4.708170573454842156e+02 7.880440199359878761e+02
4.691326701278884457e+02 7.932240444687423633e+02
4.670997157119526264e+02 7.981157568664189057e+02
4.648489780370476865e+02 8.027540318227687521e+02
4.625523180098750800e+02 8.072679940484879353e+02
4.602169799503360537e+02 8.117438309410767943e+02
4.578531431348127398e+02 8.161913989353492980e+02
4.554707130726756077e+02 8.206142326305832739e+02
4.530814654740071887e+02 8.250185569718056513e+02
4.506965013867018115e+02 8.294095452314327304e+02
4.483272773825987088e+02 8.337936129991801408e+02
4.459748685124662870e+02 8.381819566939057040e+02
4.436334524897889651e+02 8.425814360159017724e+02
4.412984517444210724e+02 8.469901831804977519e+02
4.389658661490166764e+02 8.514073492805599699e+02
4.366292024172226434e+02 8.558303453224173154e+02
4.342842074188821471e+02 8.602587349083651134e+02
4.319274298982959408e+02 8.646886040646909350e+02
4.295672159512837993e+02 8.691091044091638196e+02
4.272237764939266640e+02 8.735143865147988436e+02
4.249096393090195534e+02 8.779088399704962740e+02
4.226357904152960145e+02 8.822578735090810369e+02
4.206444172936332961e+02 8.866346658787481374e+02
4.187974440050228395e+02 8.909810454176410985e+02
4.170955292773275005e+02 8.953402241215525237e+02
4.162819512847725605e+02 8.998451988197309674e+02
4.160542103814913730e+02 9.041570165900573102e+02
4.164257646864756452e+02 9.080981810159660199e+02
